127.0.0.1 - - [02/Aug/2023:14:06:41 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:06:42 +0900] "GET /layout/layout_12.html HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:06:42 +0900] "GET /favicon.ico HTTP/1.1" 200 15406
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:06:57 +0900] "GET /layout/layout_12.html HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:07:11 +0900] "GET /layout/layout_12.html HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:10:04 +0900] "GET /layout/layout_12.html HTTP/1.1" 200 1667
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:11:28 +0900] "GET /layout/layout_12.html HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:12:05 +0900] "GET /layout/layout_12.html HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:12:24 +0900] "GET /layout/layout_12.html HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:12:33 +0900] "GET /layout/layout_12.html HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:13:26 +0900] "GET /layout/layout_12.html HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:14:32 +0900] "GET /layout/layout_12.html HTTP/1.1" 200 1757
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:15:02 +0900] "GET /layout/layout_12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:15:03 +0900] "GET /layout/layout_12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:15:03 +0900] "GET /layout/layout_12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:15:04 +0900] "GET /layout/layout_12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:15:04 +0900] "GET /layout/layout_12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:15:04 +0900] "GET /layout/layout_12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:15:04 +0900] "GET /layout/layout_12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:15:05 +0900] "GET /layout/layout_12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:15:05 +0900] "GET /layout/layout_12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:15:05 +0900] "GET /layout/layout_12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:15:05 +0900] "GET /layout/layout_12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:15:08 +0900] "GET /layout/layout_12.html HTTP/1.1" 200 1757
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:17:08 +0900] "GET /layout/layout_12.html HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:17:33 +0900] "GET /layout/layout_12.html HTTP/1.1" 200 1837
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:19:19 +0900] "GET /layout/layout_12.html HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:19:30 +0900] "GET /layout/layout_12.html HTTP/1.1" 200 1611
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:22:16 +0900] "GET /layout/layout_12.html HTTP/1.1" 200 2874
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:24:42 +0900] "GET /layout/layout_13.html HTTP/1.1" 200 2874
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:26:17 +0900] "GET /layout/layout_13.html HTTP/1.1" 200 2671
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:26:40 +0900] "GET /layout/layout_13.html HTTP/1.1" 200 2640
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:26:42 +0900] "GET /layout/layout_13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:27:04 +0900] "GET /layout/layout_13.html HTTP/1.1" 200 2641
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:27:25 +0900] "GET /layout/layout_13.html HTTP/1.1" 200 2669
0:0:0:0:0:0:0:1 - - [02/Aug/2023:14:28:05 +0900] "GET /layout/layout_12.html HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [02/Aug/2023:15:32:45 +0900] "GET /layout/layout_15.html HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [02/Aug/2023:15:32:47 +0900] "GET /layout/layout_14.html HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [02/Aug/2023:15:32:49 +0900] "GET /layout/layout_14.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:15:32:50 +0900] "GET /layout/layout_14.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:15:32:50 +0900] "GET /layout/layout_14.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:15:33:57 +0900] "GET /layout/layout_14.html HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [02/Aug/2023:15:36:36 +0900] "GET /layout/layout_14.html HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [02/Aug/2023:15:36:36 +0900] "GET /resources/image/puri.jpg HTTP/1.1" 200 179121
0:0:0:0:0:0:0:1 - - [02/Aug/2023:15:38:26 +0900] "GET /layout/layout_14.html HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [02/Aug/2023:15:40:05 +0900] "GET /layout/layout_14.html HTTP/1.1" 200 2026
0:0:0:0:0:0:0:1 - - [02/Aug/2023:15:43:34 +0900] "GET /layout/layout_14.html HTTP/1.1" 200 2095
0:0:0:0:0:0:0:1 - - [02/Aug/2023:15:44:00 +0900] "GET /layout/layout_14.html HTTP/1.1" 200 2125
0:0:0:0:0:0:0:1 - - [02/Aug/2023:15:44:40 +0900] "GET /layout/layout_14.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:15:44:42 +0900] "GET /layout/layout_14.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:15:44:42 +0900] "GET /layout/layout_14.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:15:44:42 +0900] "GET /layout/layout_14.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:15:44:42 +0900] "GET /layout/layout_14.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:15:44:42 +0900] "GET /layout/layout_14.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:15:44:42 +0900] "GET /layout/layout_14.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:15:44:43 +0900] "GET /layout/layout_14.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:15:44:43 +0900] "GET /layout/layout_14.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:15:44:43 +0900] "GET /layout/layout_14.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2023:15:44:46 +0900] "GET /layout/layout_14.html HTTP/1.1" 200 2146
0:0:0:0:0:0:0:1 - - [02/Aug/2023:15:45:34 +0900] "GET /layout/layout_14.html HTTP/1.1" 200 2144
0:0:0:0:0:0:0:1 - - [02/Aug/2023:15:46:32 +0900] "GET /layout/layout_14.html HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [02/Aug/2023:15:46:56 +0900] "GET /layout/layout_14.html HTTP/1.1" 200 2195
0:0:0:0:0:0:0:1 - - [02/Aug/2023:15:48:39 +0900] "GET /layout/layout_14.html HTTP/1.1" 200 2297
0:0:0:0:0:0:0:1 - - [02/Aug/2023:16:20:37 +0900] "GET /layout/layout_14.html HTTP/1.1" 200 2623
0:0:0:0:0:0:0:1 - - [02/Aug/2023:16:27:40 +0900] "GET /layout/layout_14.html HTTP/1.1" 200 2870
0:0:0:0:0:0:0:1 - - [02/Aug/2023:16:43:55 +0900] "GET /menu/transition.html HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [02/Aug/2023:16:44:31 +0900] "GET /menu/transition.html HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [02/Aug/2023:16:45:34 +0900] "GET /menu/transition.html HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [02/Aug/2023:16:46:43 +0900] "GET /menu/transition.html HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [02/Aug/2023:16:48:13 +0900] "GET /menu/transition.html HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [02/Aug/2023:16:48:44 +0900] "GET /menu/transition.html HTTP/1.1" 200 579
